CustomerID,Name,Age,Income,LoanAmount,LoanTerm,CreditScore,Default,TransactionHistory
1,Customer_1,62,9021,12200,13,808,0,"[{""amount"": 795, ""date"": ""2023-09-06""}, {""amount"": 707, ""date"": ""2023-02-13""}, {""amount"": 428, ""date"": ""2023-09-09""}, {""amount"": 651, ""date"": ""2023-02-04""}, {""amount"": 391, ""date"": ""2023-08-12""}, {""amount"": 866, ""date"": ""2023-07-07""}, {""amount"": 520, ""date"": ""2023-02-19""}, {""amount"": 630, ""date"": ""2023-11-07""}, {""amount"": 346, ""date"": ""2023-07-11""}, {""amount"": 797, ""date"": ""2023-02-17""}, {""amount"": 847, ""date"": ""2023-08-31""}, {""amount"": 804, ""date"": ""2023-05-03""}, {""amount"": 781, ""date"": ""2023-05-26""}]"
2,Customer_2,65,18187,29983,46,378,0,"[{""amount"": 865, ""date"": ""2023-02-10""}, {""amount"": 327, ""date"": ""2023-10-18""}, {""amount"": 959, ""date"": ""2023-04-26""}, {""amount"": 644, ""date"": ""2023-06-02""}, {""amount"": 735, ""date"": ""2023-01-10""}, {""amount"": 703, ""date"": ""2023-01-14""}]"
3,Customer_3,18,14912,27265,35,819,0,"[{""amount"": 398, ""date"": ""2023-09-10""}, {""amount"": 380, ""date"": ""2023-11-01""}, {""amount"": 407, ""date"": ""2023-06-09""}, {""amount"": 772, ""date"": ""2023-06-22""}, {""amount"": 702, ""date"": ""2023-05-17""}, {""amount"": 117, ""date"": ""2023-04-22""}, {""amount"": 762, ""date"": ""2023-09-14""}, {""amount"": 594, ""date"": ""2023-01-07""}, {""amount"": 307, ""date"": ""2023-05-30""}]"
4,Customer_4,21,6517,9870,11,823,0,"[{""amount"": 217, ""date"": ""2023-04-26""}, {""amount"": 635, ""date"": ""2023-11-11""}, {""amount"": 239, ""date"": ""2023-02-24""}, {""amount"": 420, ""date"": ""2023-08-17""}, {""amount"": 124, ""date"": ""2023-02-11""}, {""amount"": 390, ""date"": ""2023-07-14""}, {""amount"": 236, ""date"": ""2023-05-13""}]"
5,Customer_5,,10629,34761,44,614,0,"[{""amount"": 520, ""date"": ""2023-03-08""}, {""amount"": 931, ""date"": ""2023-12-12""}, {""amount"": 736, ""date"": ""2023-10-08""}, {""amount"": 645, ""date"": ""2023-10-28""}, {""amount"": 924, ""date"": ""2023-08-16""}, {""amount"": 493, ""date"": ""2023-06-25""}, {""amount"": 431, ""date"": ""2023-12-27""}, {""amount"": 126, ""date"": ""2023-09-23""}]"
6,Customer_6,57,13528,6099,9,850,0,"[{""amount"": 223, ""date"": ""2023-11-26""}, {""amount"": 512, ""date"": ""2023-03-31""}, {""amount"": 849, ""date"": ""2023-11-21""}, {""amount"": 642, ""date"": ""2023-02-17""}, {""amount"": 517, ""date"": ""2023-04-28""}, {""amount"": 705, ""date"": ""2023-08-10""}, {""amount"": 568, ""date"": ""2023-11-06""}, {""amount"": 860, ""date"": ""2023-09-05""}, {""amount"": 436, ""date"": ""2023-12-18""}, {""amount"": 522, ""date"": ""2023-07-13""}, {""amount"": 421, ""date"": ""2023-06-08""}, {""amount"": 909, ""date"": ""2023-06-15""}, {""amount"": 398, ""date"": ""2023-01-02""}, {""amount"": 802, ""date"": ""2023-01-06""}]"
7,Customer_7,27,9008,7556,13,469,0,"[{""amount"": 237, ""date"": ""2023-03-09""}, {""amount"": 130, ""date"": ""2023-06-01""}, {""amount"": 437, ""date"": ""2023-05-19""}, {""amount"": 659, ""date"": ""2023-06-26""}, {""amount"": 490, ""date"": ""2023-11-23""}, {""amount"": 121, ""date"": ""2023-08-24""}, {""amount"": 383, ""date"": ""2023-10-22""}, {""amount"": 264, ""date"": ""2023-09-21""}, {""amount"": 114, ""date"": ""2023-02-07""}, {""amount"": 387, ""date"": ""2023-03-14""}, {""amount"": 519, ""date"": ""2023-11-24""}, {""amount"": 187, ""date"": ""2023-11-11""}, {""amount"": 679, ""date"": ""2023-12-30""}, {""amount"": 565, ""date"": ""2023-12-27""}, {""amount"": 992, ""date"": ""2023-11-06""}, {""amount"": 392, ""date"": ""2023-07-29""}, {""amount"": 773, ""date"": ""2023-07-31""}, {""amount"": 387, ""date"": ""2023-03-28""}, {""amount"": 615, ""date"": ""2023-12-31""}]"
8,Customer_8,37,10292,10830,56,334,0,"[{""amount"": 900, ""date"": ""2023-08-21""}, {""amount"": 875, ""date"": ""2023-07-17""}, {""amount"": 243, ""date"": ""2023-04-20""}, {""amount"": 846, ""date"": ""2023-03-17""}, {""amount"": 350, ""date"": ""2023-10-17""}]"
9,Customer_9,39,3409,48816,49,509,0,"[{""amount"": 644, ""date"": ""2023-11-15""}, {""amount"": 914, ""date"": ""2023-07-04""}, {""amount"": 422, ""date"": ""2023-11-09""}, {""amount"": 131, ""date"": ""2023-03-22""}, {""amount"": 298, ""date"": ""2023-01-11""}, {""amount"": 890, ""date"": ""2023-07-02""}, {""amount"": 242, ""date"": ""2023-06-13""}]"
10,Customer_10,68,2765,26411,29,726,0,"[{""amount"": 679, ""date"": ""2023-04-17""}, {""amount"": 916, ""date"": ""2023-08-19""}, {""amount"": 974, ""date"": ""2023-02-28""}, {""amount"": 570, ""date"": ""2023-06-23""}, {""amount"": 657, ""date"": ""2023-09-04""}, {""amount"": 841, ""date"": ""2023-12-20""}, {""amount"": 760, ""date"": ""2023-04-09""}, {""amount"": 270, ""date"": ""2023-11-07""}, {""amount"": 964, ""date"": ""2023-04-08""}]"
