UserID,UserName,Age,Gender,Location,LastLogin,PurchaseAmount,PurchaseCategory,ReviewScore,LoginFrequency
1,User_1,62,Female,Location_1,2023-06-10,118,Clothing,3,Monthly
2,User_2,65,Female,Location_2,2023-08-14,466,Electronics,4,Weekly
3,User_3,18,Male,Location_3,2023-02-17,869,Home & Garden,3,Weekly
4,User_4,21,Female,Location_4,2023-03-14,486,Books,2,Weekly
5,User_5,21,Male,Location_5,2023-07-26,753,Home & Garden,1,Monthly
6,User_6,57,Female,Location_6,2023-02-20,629,Books,2,Monthly
7,User_7,27,Female,Location_7,2023-01-27,113,Home & Garden,1,Weekly
8,User_8,37,Female,Location_8,2023-03-11,109,Home & Garden,1,Daily
9,User_9,39,Female,Location_9,2023-01-06,424,Food,2,Weekly
10,User_10,68,Female,Location_10,2023-10-04,766,Home & Garden,2,Monthly
11,User_11,54,Male,Location_11,2023-03-22,947,Books,4,Daily
12,User_12,41,Male,Location_12,2023-03-23,768,Food,2,Daily
13,User_13,24,Female,Location_13,2023-11-10,403,Home & Garden,5,Daily
14,User_14,42,Female,Location_14,2023-03-09,896,Food,3,Weekly
15,User_15,42,Male,Location_15,2023-08-16,830,Home & Garden,4,Daily
16,User_16,30,Male,Location_16,2023-06-03,309,Clothing,1,Daily
17,User_17,19,Female,Location_17,2023-04-03,859,Food,5,Monthly
18,User_18,56,Female,Location_18,2023-08-26,956,Books,2,Weekly
19,User_19,57,Female,Location_19,2023-07-18,410,Clothing,2,Daily
20,User_20,41,Female,Location_20,2023-11-24,74,Home & Garden,5,Daily
21,User_21,64,Male,Location_21,2023-06-22,804,Home & Garden,3,Monthly
22,User_22,42,Male,Location_22,2023-11-14,145,Clothing,5,Monthly
23,User_23,35,Male,Location_23,2023-06-01,448,Electronics,1,Daily
24,User_24,55,Male,Location_24,2023-11-17,860,Clothing,5,Daily
25,User_25,43,Male,Location_25,2023-09-01,964,Books,4,Daily
26,User_26,31,Male,Location_26,2023-07-08,341,Home & Garden,5,Daily
27,User_27,26,Female,Location_27,2023-12-10,323,Food,5,Weekly
28,User_28,27,Female,Location_28,2023-05-15,708,Electronics,1,Daily
29,User_29,38,Male,Location_29,2023-01-18,982,Food,1,Weekly
30,User_30,69,Male,Location_30,2023-02-14,279,Clothing,3,Weekly
31,User_31,34,Male,Location_31,2023-01-25,978,Home & Garden,1,Daily
32,User_32,69,Male,Location_32,2023-02-13,242,Books,1,Daily
33,User_33,23,Female,Location_33,2023-11-30,796,Clothing,1,Monthly
34,User_34,33,Female,Location_34,2023-02-09,155,Clothing,5,Weekly
35,User_35,65,Male,Location_35,2023-09-21,180,Food,5,Weekly
36,User_36,18,Male,Location_36,2023-08-03,310,Food,1,Daily
37,User_37,36,Female,Location_37,2023-09-01,236,Home & Garden,2,Daily
38,User_38,53,Male,Location_38,2023-10-11,725,Food,1,Daily
39,User_39,42,Female,Location_39,2023-09-21,865,Electronics,1,Daily
40,User_40,67,Female,Location_40,2023-10-04,848,Home & Garden,3,Monthly
41,User_41,69,Male,Location_41,2023-05-08,216,Books,1,Daily
42,User_42,47,Male,Location_42,2023-10-14,568,Electronics,1,Monthly
43,User_43,37,Female,Location_43,2023-09-10,576,Clothing,3,Daily
44,User_44,37,Female,Location_44,2023-07-30,700,Food,1,Daily
45,User_45,32,Male,Location_45,2023-01-25,53,Books,1,Weekly
46,User_46,57,Female,Location_46,2023-12-31,587,Home & Garden,4,Daily
47,User_47,50,Male,Location_47,2023-04-11,984,Food,3,Weekly
48,User_48,19,Male,Location_48,2023-09-08,367,Electronics,3,Weekly
49,User_49,27,Female,Location_49,2023-01-29,272,Clothing,4,Daily
50,User_50,50,Female,Location_50,2023-10-29,131,Clothing,3,Monthly
51,User_51,49,Male,Location_51,2023-04-29,185,Food,2,Weekly
52,User_52,28,Male,Location_52,2023-02-12,182,Home & Garden,5,Daily
