VehicleID,DriverName,Age,Gender,Speed,TravelDistance,TravelTime,TrafficEvent
1,Driver_1,62,Male,17,242,854.1176471,Normal
2,Driver_2,65,Male,128,438,205.3125,Accident
3,Driver_3,18,Male,167,792,284.5508982,Breakdown
4,Driver_4,21,Male,38,999,1577.368421,Traffic Jam
5,Driver_5,21,Male,193,364,113.1606218,Breakdown
6,Driver_6,57,Female,48,620,775,Accident
7,Driver_7,27,Female,45,535,713.3333333,Normal
8,Driver_8,37,Male,122,349,171.6393443,Breakdown
9,Driver_9,39,Male,177,44,14.91525424,Accident
10,Driver_10,68,Male,22,7,19.09090909,Breakdown
11,Driver_11,54,Male,92,910,593.4782609,Traffic Jam
12,Driver_12,41,Female,65,206,190.1538462,Traffic Jam
13,Driver_13,24,Female,85,146,103.0588235,Breakdown
14,Driver_14,42,Male,66,425,386.3636364,Traffic Jam
15,Driver_15,42,Male,32,638,1196.25,Accident
16,Driver_16,30,Female,178,479,161.4606742,Normal
17,Driver_17,19,Male,70,453,388.2857143,Normal
18,Driver_18,56,Female,102,787,462.9411765,Breakdown
19,Driver_19,57,Female,163,753,277.1779141,Breakdown
20,Driver_20,41,Male,151,131,52.05298013,Accident
21,Driver_21,64,Male,122,28,13.7704918,Normal
22,Driver_22,42,Female,82,393,287.5609756,Normal
23,Driver_23,35,Female,102,748,440,Accident
24,Driver_24,55,Male,89,208,140.2247191,Traffic Jam
25,Driver_25,43,Female,79,564,428.3544304,Normal
26,Driver_26,31,Male,113,216,114.6902655,Breakdown
27,Driver_27,26,Male,155,944,365.4193548,Traffic Jam
28,Driver_28,27,Female,85,832,587.2941176,Normal
29,Driver_29,38,Female,1,159,9540,Traffic Jam
30,Driver_30,69,Male,9,526,3506.666667,Traffic Jam
31,Driver_31,34,Male,115,861,449.2173913,Normal
32,Driver_32,69,Female,81,943,698.5185185,Normal
33,Driver_33,23,Male,139,911,393.2374101,Accident
34,Driver_34,33,Male,64,755,707.8125,Breakdown
35,Driver_35,65,Male,67,175,156.7164179,Normal
36,Driver_36,18,Female,189,174,55.23809524,Normal
37,Driver_37,36,Female,54,610,677.7777778,Breakdown
38,Driver_38,53,Female,36,261,435,Accident
39,Driver_39,42,Male,126,885,421.4285714,Traffic Jam
40,Driver_40,67,Female,19,651,2055.789474,Breakdown
41,Driver_41,69,Female,197,373,113.6040609,Accident
42,Driver_42,47,Male,125,64,30.72,Traffic Jam
43,Driver_43,37,Male,190,275,86.84210526,Breakdown
44,Driver_44,37,Female,196,485,148.4693878,Accident
45,Driver_45,32,Female,169,201,71.36094675,Normal
46,Driver_46,57,Female,144,120,50,Normal
47,Driver_47,50,Female,185,315,102.1621622,Traffic Jam
48,Driver_48,19,Male,133,714,322.1052632,Normal
49,Driver_49,27,Female,96,751,469.375,Traffic Jam
50,Driver_50,50,Female,22,398,1085.454545,Accident
51,Driver_51,49,Male,131,525,240.4580153,Normal
52,Driver_52,28,Male,136,670,295.5882353,Traffic Jam
53,Driver_53,41,Female,62,591,571.9354839,Breakdown
54,Driver_54,53,Female,92,361,235.4347826,Accident
55,Driver_55,29,Female,169,78,27.69230769,Normal
56,Driver_56,68,Female,74,650,527.027027,Normal
57,Driver_57,46,Female,102,943,554.7058824,Traffic Jam
58,Driver_58,52,Male,92,701,457.173913,Breakdown
59,Driver_59,18,Male,95,589,372,Normal
60,Driver_60,18,Female,108,230,127.7777778,Traffic Jam
61,Driver_61,54,Male,139,670,289.2086331,Normal
62,Driver_62,23,Female,162,110,40.74074074,Accident
63,Driver_63,56,Male,91,76,50.10989011,Normal
64,Driver_64,58,Female,49,493,603.6734694,Traffic Jam
65,Driver_65,35,Female,71,882,745.3521127,Traffic Jam
66,Driver_66,33,Male,167,921,330.8982036,Traffic Jam
67,Driver_67,22,Female,102,828,487.0588235,Breakdown
68,Driver_68,59,Female,119,969,488.5714286,Breakdown
69,Driver_69,60,Female,58,656,678.6206897,Accident
70,Driver_70,49,Female,5,439,5268,Normal
71,Driver_71,19,Female,73,673,553.1506849,Breakdown
72,Driver_72,19,Female,88,493,336.1363636,Normal
73,Driver_73,57,Male,140,255,109.2857143,Normal
74,Driver_74,59,Male,59,721,733.220339,Traffic Jam
75,Driver_75,53,Female,15,372,1488,Traffic Jam
76,Driver_76,56,Female,4,621,9315,Normal
77,Driver_77,29,Male,150,115,46,Traffic Jam
78,Driver_78,64,Male,180,370,123.3333333,Normal
79,Driver_79,36,Male,66,12,10.90909091,Normal
80,Driver_80,45,Male,71,272,229.8591549,Traffic Jam
81,Driver_81,18,Female,109,282,155.2293578,Breakdown
82,Driver_82,32,Female,72,790,658.3333333,Normal
83,Driver_83,53,Male,5,151,1812,Breakdown
84,Driver_84,30,Male,39,978,1504.615385,Breakdown
85,Driver_85,60,Male,79,989,751.1392405,Traffic Jam
86,Driver_86,38,Male,79,763,579.4936709,Breakdown
87,Driver_87,29,Female,41,860,1258.536585,Breakdown
88,Driver_88,22,Male,150,109,43.6,Breakdown
89,Driver_89,24,Male,147,457,186.5306122,Breakdown
90,Driver_90,22,Male,62,860,832.2580645,Normal
91,Driver_91,65,Female,29,477,986.8965517,Traffic Jam
92,Driver_92,21,Female,9,744,4960,Traffic Jam
93,Driver_93,30,Female,139,620,267.6258993,Traffic Jam
94,Driver_94,54,Male,125,104,49.92,Normal
95,Driver_95,58,Female,99,100,60.60606061,Normal
96,Driver_96,32,Female,26,415,957.6923077,Accident
97,Driver_97,33,Male,103,757,440.9708738,Normal
98,Driver_98,38,Female,72,938,781.6666667,Normal
99,Driver_99,53,Male,129,759,353.0232558,Breakdown
100,Driver_100,41,Female,99,394,238.7878788,Normal
101,Driver_101,33,Female,114,887,466.8421053,Accident
102,Driver_102,31,Male,174,821,283.1034483,Accident
103,Driver_103,39,Male,55,300,327.2727273,Breakdown
104,Driver_104,66,Female,10,850,5100,Normal
105,Driver_105,67,Female,24,947,2367.5,Normal
106,Driver_106,23,Male,95,401,253.2631579,Traffic Jam
107,Driver_107,59,Female,43,65,90.69767442,Normal
108,Driver_108,53,Male,141,795,338.2978723,Breakdown
109,Driver_109,18,Male,55,136,148.3636364,Traffic Jam
110,Driver_110,49,Male,5,439,5268,Normal
111,Driver_111,23,Female,151,851,338.1456954,Traffic Jam
112,Driver_112,48,Female,42,955,1364.285714,Accident
113,Driver_113,18,Female,103,332,193.3980583,Breakdown
114,Driver_114,67,Female,49,314,384.4897959,Accident
115,Driver_115,68,Female,101,699,415.2475248,Normal
116,Driver_116,54,Male,102,973,572.3529412,Accident
117,Driver_117,52,Female,75,270,216,Accident
118,Driver_118,66,Male,117,969,496.9230769,Traffic Jam
119,Driver_119,47,Male,184,233,75.97826087,Breakdown
120,Driver_120,21,Female,171,787,276.1403509,Breakdown
121,Driver_121,52,Male,152,146,57.63157895,Accident
122,Driver_122,60,Female,81,171,126.6666667,Normal
123,Driver_123,31,Male,21,301,860,Normal
124,Driver_124,66,Male,146,227,93.28767123,Accident
125,Driver_125,57,Male,63,716,681.9047619,Normal
126,Driver_126,39,Female,89,856,577.0786517,Accident
127,Driver_127,27,Female,29,839,1735.862069,Breakdown
128,Driver_128,18,Female,37,207,335.6756757,Normal
129,Driver_129,28,Female,177,559,189.4915254,Traffic Jam
130,Driver_130,68,Male,168,567,202.5,Accident
131,Driver_131,61,Female,106,691,391.1320755,Normal
132,Driver_132,41,Female,103,44,25.63106796,Traffic Jam
133,Driver_133,20,Male,11,578,3152.727273,Breakdown
134,Driver_134,52,Male,56,975,1044.642857,Accident
135,Driver_135,53,Female,191,358,112.460733,Normal
136,Driver_136,48,Male,142,263,111.1267606,Breakdown
137,Driver_137,21,Female,32,122,228.75,Accident
